index	EXP_ID	GROUP_ID	INDIVIDUAL_ID	COMPOUND_NAME	SINGLE_REPEAT_TYPE	SACRIFICE_PERIOD	DOSE	DOSE_UNIT	DOSE_LEVEL	ALP(IU/L)	TC(mg/dL)	TG(mg/dL)	PL(mg/dL)	TBIL(mg/dL)	DBIL(mg/dL)	GLC(mg/dL)	BUN(mg/dL)	CRE(mg/dL)	Na(meq/L)	K(meq/L)	Cl(meq/L)	Ca(mg/dL)	IP(mg/dL)	TP(g/dL)	RALB(g/dL)	A/G	AST(IU/L)	ALT(IU/L)	LDH(IU/L)	GTP(IU/L)
5480	239	15	1	labetalol	Single	9 hr	450	mg/kg	High	1311.0	80.0	35.0	139.0	0.05	0.01	189.0	12.0	0.2	144.0	4.6	109.0	10.3	9.8	5.3	2.5	0.9	63.0	55.0	38.0	1.0
5485	239	16	1	labetalol	Single	24 hr	450	mg/kg	High	1925.0	87.0	61.0	137.0	0.03	0.01	192.0	20.0	0.2	144.0	4.9	107.0	11.0	8.9	5.7	2.7	0.9	78.0	46.0	70.0	1.0
5490	240	1	1	labetalol	Repeat	4 day	0	mg/kg	Control	1496.0	78.0	81.0	150.0	0.03	0.02	199.0	19.0	0.2	141.0	4.1	103.0	10.6	8.0	5.8	2.7	0.9	65.0	37.0	72.0	1.0
5495	240	2	1	labetalol	Repeat	8 day	0	mg/kg	Control	1493.0	94.0	71.0	158.0	0.04	0.01	191.0	13.0	0.2	142.0	3.8	103.0	10.5	7.4	5.8	2.7	0.9	60.0	31.0	52.0	1.0
5500	240	3	1	labetalol	Repeat	15 day	0	mg/kg	Control	1260.0	86.0	233.0	182.0	0.03	0.02	214.0	16.0	0.2	141.0	3.8	102.0	10.4	7.3	6.2	2.9	0.9	61.0	42.0	51.0	1.0
5505	240	4	1	labetalol	Repeat	29 day	0	mg/kg	Control	1165.0	68.0	252.0	162.0	0.03	0.03	185.0	17.0	0.2	140.0	3.7	102.0	10.7	6.4	6.3	2.8	0.8	62.0	47.0	58.0	1.0
5510	240	5	1	labetalol	Repeat	4 day	45	mg/kg	Low	1440.0	78.0	145.0	151.0	0.03	0.02	208.0	15.0	0.2	143.0	3.8	104.0	11.0	8.3	5.8	2.7	0.9	74.0	43.0	72.0	1.0
5515	240	6	1	labetalol	Repeat	8 day	45	mg/kg	Low	1721.0	85.0	98.0	162.0	0.02	0.01	189.0	17.0	0.2	143.0	3.9	104.0	10.4	7.5	5.9	2.6	0.8	75.0	46.0	88.0	2.0
5520	240	7	1	labetalol	Repeat	15 day	45	mg/kg	Low	1490.0	64.0	184.0	134.0	0.04	0.03	194.0	17.0	0.3	144.0	3.8	105.0	10.6	7.2	6.1	2.8	0.8	72.0	56.0	69.0	1.0
5525	240	8	1	labetalol	Repeat	29 day	45	mg/kg	Low	710.0	78.0	58.0	128.0	0.04	0.01	172.0	14.0	0.3	141.0	3.9	105.0	10.2	6.6	6.0	2.6	0.8	76.0	55.0	50.0	1.0
5530	240	9	1	labetalol	Repeat	4 day	150	mg/kg	Middle	1601.0	93.0	114.0	170.0	0.03	0.02	204.0	18.0	0.2	144.0	3.9	103.0	11.1	8.4	5.8	2.7	0.9	69.0	53.0	65.0	1.0
5535	240	10	1	labetalol	Repeat	8 day	150	mg/kg	Middle	1512.0	64.0	136.0	127.0	0.04	0.02	175.0	16.0	0.2	143.0	4.0	104.0	10.7	8.1	6.1	2.8	0.8	71.0	39.0	56.0	1.0
5540	240	11	1	labetalol	Repeat	15 day	150	mg/kg	Middle	1628.0	81.0	99.0	145.0	0.02	0.02	182.0	17.0	0.2	145.0	4.1	106.0	10.6	7.6	6.0	2.7	0.8	74.0	48.0	64.0	2.0
5545	240	12	1	labetalol	Repeat	29 day	150	mg/kg	Middle	612.0	67.0	82.0	108.0	0.04	0.02	188.0	16.0	0.3	143.0	3.5	104.0	10.7	6.6	6.0	2.7	0.8	84.0	67.0	55.0	2.0
5550	240	13	1	labetalol	Repeat	4 day	450	mg/kg	High	1365.0	71.0	33.0	125.0	0.04	0.02	154.0	15.0	0.3	142.0	4.3	106.0	10.4	7.5	5.3	2.4	0.8	49.0	37.0	43.0	1.0
5555	240	14	1	labetalol	Repeat	8 day	450	mg/kg	High	1823.0	103.0	43.0	152.0	0.03	0.01	171.0	17.0	0.2	142.0	4.1	102.0	10.7	8.1	5.9	2.7	0.8	64.0	48.0	103.0	1.0
5560	240	15	1	labetalol	Repeat	15 day	450	mg/kg	High	1371.0	64.0	44.0	118.0	0.03	0.01	161.0	19.0	0.3	145.0	4.1	106.0	10.3	7.5	5.8	2.6	0.8	58.0	40.0	48.0	1.0
5563	240	16	1	labetalol	Repeat	29 day	450	mg/kg	High	1343.0	56.0	86.0	124.0	0.04	0.03	159.0	27.0	0.3	140.0	4.4	105.0	10.5	7.5	5.9	2.6	0.8	76.0	46.0	38.0	2.0
5565	241	1	1	methyltestosterone	Single	3 hr	0	mg/kg	Control	1920.0	73.0	36.0	122.0	0.03	0.01	181.0	10.0	0.2	139.0	4.6	102.0	11.0	8.7	5.7	2.7	0.9	75.0	38.0	65.0	1.0
5570	241	2	1	methyltestosterone	Single	6 hr	0	mg/kg	Control	1895.0	88.0	63.0	144.0	0.05	0.01	182.0	10.0	0.2	141.0	3.7	107.0	10.7	8.9	5.5	2.6	0.9	88.0	48.0	81.0	1.0
5575	241	3	1	methyltestosterone	Single	9 hr	0	mg/kg	Control	1662.0	84.0	24.0	130.0	0.05	0.01	160.0	8.0	0.2	138.0	4.3	104.0	9.9	9.2	5.3	2.5	0.9	78.0	45.0	57.0	1.0
5580	241	4	1	methyltestosterone	Single	24 hr	0	mg/kg	Control	2073.0	78.0	134.0	150.0	0.03	0.02	191.0	15.0	0.2	139.0	4.3	103.0	10.7	8.0	5.5	2.6	0.9	76.0	44.0	65.0	1.0
5585	241	5	1	methyltestosterone	Single	3 hr	30	mg/kg	Low	1578.0	73.0	74.0	141.0	0.04	0.01	168.0	10.0	0.2	138.0	4.6	102.0	10.5	9.3	5.3	2.5	0.9	70.0	38.0	69.0	1.0
5590	241	6	1	methyltestosterone	Single	6 hr	30	mg/kg	Low	1579.0	71.0	33.0	115.0	0.04	0.01	190.0	11.0	0.2	140.0	4.2	105.0	10.4	10.1	5.3	2.5	0.9	69.0	36.0	46.0	1.0
5595	241	7	1	methyltestosterone	Single	9 hr	30	mg/kg	Low	1358.0	76.0	18.0	120.0	0.04	0.01	186.0	8.0	0.2	142.0	4.3	108.0	10.5	9.7	5.2	2.5	0.9	75.0	40.0	49.0	1.0
5600	241	8	1	methyltestosterone	Single	24 hr	30	mg/kg	Low	2494.0	68.0	78.0	131.0	0.03	0.01	195.0	16.0	0.2	140.0	4.3	106.0	11.2	6.6	5.8	2.7	0.9	76.0	54.0	63.0	1.0
5605	241	9	1	methyltestosterone	Single	3 hr	100	mg/kg	Middle	1228.0	57.0	49.0	113.0	0.05	0.02	191.0	10.0	0.2	139.0	4.4	105.0	10.5	7.7	5.1	2.4	0.9	63.0	42.0	62.0	1.0
5610	241	10	1	methyltestosterone	Single	6 hr	100	mg/kg	Middle	1310.0	73.0	59.0	138.0	0.06	0.02	174.0	7.0	0.1	140.0	4.9	107.0	10.8	9.3	5.2	2.5	0.9	73.0	40.0	48.0	1.0
5615	241	11	1	methyltestosterone	Single	9 hr	100	mg/kg	Middle	1420.0	46.0	98.0	110.0	0.04	0.02	176.0	9.0	0.2	142.0	4.5	109.0	10.5	9.0	5.2	2.4	0.9	72.0	39.0	61.0	1.0
5620	241	12	1	methyltestosterone	Single	24 hr	100	mg/kg	Middle	2177.0	69.0	197.0	152.0	0.03	0.03	176.0	18.0	0.2	139.0	4.7	105.0	11.2	7.0	5.8	2.8	0.9	72.0	45.0	57.0	1.0
5625	241	13	1	methyltestosterone	Single	3 hr	300	mg/kg	High	1708.0	68.0	51.0	130.0	0.07	0.02	183.0	9.0	0.2	138.0	4.4	104.0	10.4	7.9	5.3	2.6	1.0	80.0	42.0	67.0	1.0
5630	241	14	1	methyltestosterone	Single	6 hr	300	mg/kg	High	1960.0	60.0	69.0	130.0	0.06	0.02	183.0	7.0	0.2	141.0	4.4	108.0	10.9	8.5	5.3	2.5	0.9	73.0	45.0	58.0	1.0
5635	241	15	1	methyltestosterone	Single	9 hr	300	mg/kg	High	1661.0	38.0	39.0	94.0	0.07	0.03	175.0	8.0	0.2	142.0	4.6	108.0	10.6	9.7	5.3	2.5	0.9	77.0	32.0	54.0	1.0
5640	241	16	1	methyltestosterone	Single	24 hr	300	mg/kg	High	1982.0	38.0	238.0	102.0	0.04	0.04	173.0	15.0	0.2	141.0	4.4	109.0	10.5	7.2	5.4	2.6	0.9	85.0	60.0	67.0	1.0
5645	242	1	1	methyltestosterone	Repeat	4 day	0	mg/kg	Control	1836.0	82.0	90.0	140.0	0.03	0.02	201.0	14.0	0.2	141.0	4.1	107.0	10.8	6.5	5.7	2.7	0.9	77.0	46.0	69.0	1.0
5650	242	2	1	methyltestosterone	Repeat	8 day	0	mg/kg	Control	1305.0	71.0	91.0	128.0	0.03	0.02	184.0	15.0	0.2	139.0	4.0	104.0	11.2	6.6	6.0	2.8	0.9	64.0	42.0	69.0	1.0
5655	242	3	1	methyltestosterone	Repeat	15 day	0	mg/kg	Control	1469.0	78.0	103.0	144.0	0.04	0.02	180.0	17.0	0.3	141.0	4.6	106.0	10.3	6.1	6.0	2.7	0.8	68.0	39.0	69.0	1.0
5660	242	4	1	methyltestosterone	Repeat	29 day	0	mg/kg	Control	1079.0	75.0	157.0	141.0	0.03	0.02	172.0	18.0	0.3	143.0	3.3	105.0	11.3	6.2	6.4	2.9	0.8	55.0	34.0	71.0	1.0
5665	242	5	1	methyltestosterone	Repeat	4 day	30	mg/kg	Low	1674.0	56.0	242.0	148.0	0.03	0.02	190.0	17.0	0.2	145.0	4.2	105.0	11.4	8.5	6.1	2.8	0.8	67.0	43.0	56.0	2.0
5670	242	6	1	methyltestosterone	Repeat	8 day	30	mg/kg	Low	1875.0	51.0	135.0	123.0	0.02	0.02	196.0	15.0	0.2	142.0	4.3	105.0	10.7	7.6	5.7	2.6	0.8	69.0	41.0	56.0	1.0
5675	242	7	1	methyltestosterone	Repeat	15 day	30	mg/kg	Low	1220.0	45.0	202.0	132.0	0.03	0.02	201.0	19.0	0.2	142.0	4.3	105.0	10.6	8.1	5.9	2.7	0.8	81.0	60.0	111.0	1.0
5680	242	8	1	methyltestosterone	Repeat	29 day	30	mg/kg	Low	1122.0	63.0	140.0	141.0	0.04	0.02	196.0	16.0	0.3	144.0	3.8	105.0	11.3	6.4	6.4	2.9	0.8	67.0	44.0	71.0	1.0
5685	242	9	1	methyltestosterone	Repeat	4 day	100	mg/kg	Middle	1935.0	45.0	249.0	127.0	0.03	0.02	201.0	15.0	0.2	145.0	4.0	110.0	11.0	7.1	6.1	2.8	0.8	71.0	46.0	93.0	1.0
5690	242	10	1	methyltestosterone	Repeat	8 day	100	mg/kg	Middle	1629.0	59.0	231.0	140.0	0.02	0.03	197.0	20.0	0.2	141.0	4.1	106.0	11.0	6.3	5.8	2.7	0.9	68.0	37.0	58.0	1.0
5695	242	11	1	methyltestosterone	Repeat	15 day	100	mg/kg	Middle	1368.0	62.0	133.0	147.0	0.04	0.02	206.0	16.0	0.2	142.0	4.5	106.0	10.7	8.4	6.4	3.0	0.9	113.0	113.0	80.0	2.0
5700	242	12	1	methyltestosterone	Repeat	29 day	100	mg/kg	Middle	1227.0	31.0	264.0	104.0	0.02	0.02	222.0	12.0	0.3	143.0	3.4	103.0	11.0	6.4	6.0	2.7	0.8	58.0	39.0	37.0	1.0
5705	242	13	1	methyltestosterone	Repeat	4 day	300	mg/kg	High	2077.0	39.0	215.0	114.0	0.02	0.03	177.0	15.0	0.2	143.0	4.2	106.0	11.0	8.0	6.1	2.9	0.9	55.0	42.0	97.0	2.0
5710	242	14	1	methyltestosterone	Repeat	8 day	300	mg/kg	High	2166.0	28.0	210.0	102.0	0.02	0.02	195.0	12.0	0.2	143.0	3.8	107.0	10.9	7.8	5.8	2.7	0.9	62.0	36.0	61.0	1.0
5715	242	15	1	methyltestosterone	Repeat	15 day	300	mg/kg	High	1394.0	39.0	204.0	125.0	0.02	0.02	181.0	14.0	0.2	142.0	3.9	105.0	10.4	8.3	6.1	2.7	0.8	67.0	60.0	65.0	2.0
5720	242	16	1	methyltestosterone	Repeat	29 day	300	mg/kg	High	1008.0	53.0	115.0	127.0	0.04	0.02	206.0	17.0	0.2	144.0	3.5	104.0	11.4	7.1	6.3	2.9	0.9	76.0	77.0	53.0	2.0
5725	247	1	1	haloperidol	Single	3 hr	0	mg/kg	Control	1028.0	80.0	66.0	150.0	0.23	0.0	181.0	16.0	0.6	138.0	6.5	105.0	11.4	9.5	5.8	3.9	2.1	74.0	40.0	112.0	2.0
5730	247	2	1	haloperidol	Single	6 hr	0	mg/kg	Control	761.0	78.0	53.0	143.0	0.2	0.03	186.0	13.0	0.5	138.0	4.7	105.0	10.4	10.6	5.5	3.8	2.2	61.0	35.0	82.0	1.0
5735	247	3	1	haloperidol	Single	9 hr	0	mg/kg	Control	979.0	85.0	32.0	139.0	0.49	0.04	180.0	14.0	0.5	136.0	5.8	105.0	10.1	9.0	5.3	3.7	2.3	64.0	35.0	94.0	3.0
5740	247	4	1	haloperidol	Single	24 hr	0	mg/kg	Control	980.0	80.0	94.0	153.0	0.33	0.03	197.0	20.0	0.6	136.0	5.3	105.0	10.8	7.2	5.6	3.7	2.0	57.0	51.0	96.0	1.0
5745	247	5	1	haloperidol	Single	3 hr	3	mg/kg	Low	886.0	75.0	34.0	128.0	0.29	0.0	199.0	13.0	0.5	138.0	5.2	105.0	10.6	9.4	5.6	3.4	1.6	61.0	41.0	93.0	1.0
5750	247	6	1	haloperidol	Single	6 hr	3	mg/kg	Low	995.0	81.0	39.0	132.0	0.2	0.06	180.0	11.0	0.5	139.0	5.1	106.0	10.7	9.9	5.3	3.4	1.8	61.0	35.0	95.0	2.0
5755	247	7	1	haloperidol	Single	9 hr	3	mg/kg	Low	669.0	66.0	22.0	111.0	0.35	0.0	179.0	9.0	0.5	140.0	4.3	106.0	9.8	9.7	5.6	3.6	1.8	54.0	28.0	93.0	2.0
5760	247	8	1	haloperidol	Single	24 hr	3	mg/kg	Low	703.0	67.0	103.0	143.0	0.36	0.03	192.0	19.0	0.9	138.0	5.4	105.0	10.9	6.3	5.7	3.7	1.9	52.0	40.0	112.0	2.0
5765	247	9	1	haloperidol	Single	3 hr	10	mg/kg	Middle	715.0	79.0	23.0	129.0	0.17	0.01	201.0	14.0	0.6	140.0	4.4	106.0	10.6	10.5	5.4	3.4	1.7	68.0	42.0	93.0	1.0
5770	247	10	1	haloperidol	Single	6 hr	10	mg/kg	Middle	686.0	84.0	49.0	148.0	0.34	0.04	186.0	11.0	0.5	139.0	5.3	106.0	10.9	9.0	5.6	3.6	1.8	49.0	29.0	86.0	2.0
5774	247	11	1	haloperidol	Single	9 hr	10	mg/kg	Middle	844.0	99.0	43.0	164.0	0.25	0.0	207.0	10.0	0.5	140.0	5.0	107.0	10.6	11.8	5.6	3.6	1.8	56.0	28.0	133.0	1.0
5779	247	12	1	haloperidol	Single	24 hr	10	mg/kg	Middle	977.0	63.0	67.0	134.0	0.37	0.03	171.0	26.0	0.5	140.0	5.1	106.0	11.4	7.9	6.0	3.9	1.9	63.0	32.0	102.0	2.0
5784	247	13	1	haloperidol	Single	3 hr	30	mg/kg	High	564.0	92.0	45.0	169.0	0.36	0.02	226.0	13.0	0.5	141.0	4.0	107.0	11.1	9.1	5.8	3.9	2.1	46.0	28.0	74.0	1.0
5789	247	14	1	haloperidol	Single	6 hr	30	mg/kg	High	1244.0	69.0	17.0	123.0	0.22	0.03	212.0	10.0	0.4	139.0	5.1	107.0	10.0	9.5	5.6	3.6	1.8	62.0	30.0	85.0	1.0
5794	247	15	1	haloperidol	Single	9 hr	30	mg/kg	High	892.0	72.0	37.0	128.0	0.29	0.02	206.0	11.0	0.5	141.0	4.2	108.0	10.0	10.4	5.7	3.9	2.2	55.0	31.0	89.0	1.0
5799	247	16	1	haloperidol	Single	24 hr	30	mg/kg	High	872.0	85.0	108.0	166.0	0.25	0.0	177.0	33.0	0.5	141.0	5.3	108.0	11.2	9.3	6.2	4.1	2.0	72.0	31.0	138.0	0.0
5804	248	1	1	haloperidol	Repeat	4 day	0	mg/kg	Control	773.0	90.0	153.0	166.0	0.22	0.0	203.0	21.0	0.5	138.0	5.4	106.0	10.7	7.8	5.9	3.8	1.8	68.0	44.0	98.0	1.0
5809	248	2	1	haloperidol	Repeat	8 day	0	mg/kg	Control	996.0	88.0	148.0	193.0	0.16	0.0	215.0	21.0	0.5	137.0	5.0	105.0	10.6	6.6	5.9	3.8	1.8	63.0	39.0	97.0	1.0
5814	248	3	1	haloperidol	Repeat	15 day	0	mg/kg	Control	979.0	82.0	133.0	166.0	0.28	0.02	223.0	21.0	0.5	137.0	4.8	107.0	10.4	6.8	6.1	3.7	1.5	72.0	38.0	96.0	1.0
5819	248	4	1	haloperidol	Repeat	29 day	0	mg/kg	Control	571.0	59.0	131.0	132.0	0.15	0.07	190.0	20.0	0.6	138.0	4.3	104.0	10.7	8.0	6.5	4.1	1.7	63.0	34.0	82.0	3.0
5824	248	5	1	haloperidol	Repeat	4 day	3	mg/kg	Low	909.0	94.0	159.0	208.0	0.24	0.0	188.0	23.0	0.6	139.0	4.8	106.0	10.8	7.5	6.0	4.1	2.2	69.0	40.0	77.0	3.0
5829	248	6	1	haloperidol	Repeat	8 day	3	mg/kg	Low	848.0	74.0	144.0	161.0	0.24	0.0	196.0	25.0	0.6	138.0	5.0	106.0	11.6	6.7	6.3	4.2	2.0	54.0	29.0	109.0	3.0
5834	248	7	1	haloperidol	Repeat	15 day	3	mg/kg	Low	954.0	60.0	189.0	153.0	0.21	0.0	193.0	18.0	0.5	137.0	4.7	107.0	10.7	6.7	6.3	4.2	2.0	71.0	37.0	134.0	0.0
5839	248	8	1	haloperidol	Repeat	29 day	3	mg/kg	Low	589.0	56.0	175.0	138.0	0.17	0.0	185.0	21.0	0.6	139.0	4.3	108.0	10.6	5.2	6.6	4.1	1.6	63.0	32.0	68.0	1.0
5844	248	9	1	haloperidol	Repeat	4 day	10	mg/kg	Middle	897.0	82.0	145.0	180.0	0.23	0.0	188.0	21.0	0.5	139.0	4.5	106.0	11.3	6.9	6.2	4.2	2.1	78.0	54.0	135.0	1.0
5849	248	10	1	haloperidol	Repeat	8 day	10	mg/kg	Middle	1218.0	83.0	95.0	168.0	0.22	0.0	197.0	20.0	0.5	139.0	4.7	105.0	11.3	6.2	6.2	4.1	2.0	68.0	39.0	77.0	1.0
5854	248	11	1	haloperidol	Repeat	15 day	10	mg/kg	Middle	755.0	72.0	193.0	165.0	0.27	0.0	171.0	22.0	0.5	136.0	4.6	106.0	10.6	6.9	6.3	3.7	1.4	56.0	28.0	94.0	1.0
5859	248	12	1	haloperidol	Repeat	29 day	10	mg/kg	Middle	553.0	88.0	148.0	173.0	0.22	0.06	196.0	26.0	0.6	139.0	4.2	106.0	11.3	7.2	6.7	4.1	1.6	63.0	31.0	81.0	1.0
5864	248	13	1	haloperidol	Repeat	4 day	30	mg/kg	High	514.0	105.0	67.0	163.0	0.11	0.0	149.0	28.0	0.8	141.0	4.5	106.0	11.1	8.2	5.9	4.2	2.5	52.0	25.0	79.0	0.0
5869	248	14	1	haloperidol	Repeat	8 day	30	mg/kg	High	1357.0	75.0	116.0	173.0	0.22	0.0	172.0	25.0	0.5	139.0	4.9	106.0	11.9	8.1	6.0	4.1	2.2	77.0	65.0	97.0	1.0
5874	248	15	1	haloperidol	Repeat	15 day	30	mg/kg	High	600.0	73.0	111.0	153.0	0.23	0.02	191.0	27.0	0.6	138.0	4.8	105.0	11.1	6.6	6.1	4.1	2.1	69.0	37.0	102.0	2.0
5879	248	16	1	haloperidol	Repeat	29 day	30	mg/kg	High	464.0	66.0	132.0	143.0	0.06	0.0	172.0	26.0	0.5	140.0	5.0	108.0	10.8	6.2	6.5	4.0	1.6	75.0	32.0	81.0	3.0
5884	251	1	1	thioridazine	Single	3 hr	0	mg/kg	Control	657.0	86.0	82.0	148.0	0.26	0.0	191.0	13.0	0.5	138.0	5.5	105.0	11.6	10.4	5.6	4.0	2.5	78.0	40.0	106.0	1.0
5889	251	2	1	thioridazine	Single	6 hr	0	mg/kg	Control	792.0	88.0	87.0	149.0	0.35	0.0	198.0	15.0	0.5	138.0	5.1	105.0	10.5	8.4	5.2	3.7	2.5	59.0	26.0	91.0	3.0
5894	251	3	1	thioridazine	Single	9 hr	0	mg/kg	Control	869.0	95.0	39.0	143.0	0.35	0.02	208.0	15.0	0.5	139.0	5.0	105.0	11.2	10.7	5.8	4.0	2.2	69.0	29.0	60.0	2.0
5899	251	4	1	thioridazine	Single	24 hr	0	mg/kg	Control	959.0	79.0	101.0	148.0	0.39	0.0	196.0	22.0	0.5	138.0	5.8	106.0	10.8	7.4	5.9	4.0	2.1	66.0	34.0	99.0	1.0
5904	251	5	1	thioridazine	Single	3 hr	10	mg/kg	Low	1279.0	77.0	100.0	147.0	0.28	0.0	214.0	14.0	0.5	137.0	4.7	104.0	10.8	9.4	5.5	4.0	2.7	55.0	31.0	98.0	0.0
5909	251	6	1	thioridazine	Single	6 hr	10	mg/kg	Low	693.0	65.0	59.0	122.0	0.47	0.03	185.0	12.0	0.6	139.0	5.5	108.0	10.6	8.9	5.5	3.7	2.1	64.0	29.0	104.0	2.0
5914	251	7	1	thioridazine	Single	9 hr	10	mg/kg	Low	763.0	78.0	44.0	142.0	0.31	0.01	179.0	10.0	0.6	142.0	6.1	102.0	11.2	12.2	5.6	3.9	2.3	65.0	29.0	103.0	2.0
5919	251	8	1	thioridazine	Single	24 hr	10	mg/kg	Low	886.0	70.0	125.0	145.0	0.37	0.06	199.0	19.0	0.4	137.0	5.0	104.0	11.1	8.7	5.8	4.2	2.6	78.0	50.0	85.0	1.0
5924	251	9	1	thioridazine	Single	3 hr	30	mg/kg	Middle	707.0	74.0	22.0	130.0	0.37	0.0	205.0	12.0	0.6	138.0	4.7	105.0	10.6	9.8	5.1	3.7	2.6	81.0	48.0	110.0	1.0
5929	251	10	1	thioridazine	Single	6 hr	30	mg/kg	Middle	729.0	71.0	73.0	142.0	0.39	0.05	187.0	9.0	0.7	139.0	4.9	107.0	10.7	10.0	5.5	4.0	2.7	63.0	34.0	88.0	1.0
5934	251	11	1	thioridazine	Single	9 hr	30	mg/kg	Middle	1057.0	85.0	155.0	165.0	0.4	0.01	210.0	16.0	0.7	141.0	4.4	105.0	11.1	10.0	5.8	3.8	1.9	54.0	26.0	79.0	2.0
5939	251	12	1	thioridazine	Single	24 hr	30	mg/kg	Middle	1013.0	89.0	120.0	162.0	0.26	0.03	192.0	19.0	0.5	139.0	4.8	106.0	11.2	8.7	6.1	3.9	1.8	86.0	48.0	110.0	1.0
5944	251	13	1	thioridazine	Single	3 hr	100	mg/kg	High	1089.0	85.0	29.0	146.0	0.37	0.01	218.0	10.0	0.5	141.0	3.9	108.0	11.1	10.8	5.4	3.8	2.4	69.0	38.0	77.0	1.0
5949	251	14	1	thioridazine	Single	6 hr	100	mg/kg	High	819.0	81.0	31.0	143.0	0.36	0.0	195.0	7.0	0.7	139.0	4.8	107.0	10.2	10.1	5.3	3.7	2.3	60.0	31.0	95.0	1.0
5954	251	15	1	thioridazine	Single	9 hr	100	mg/kg	High	1166.0	82.0	48.0	161.0	0.32	0.01	237.0	8.0	0.5	143.0	3.8	106.0	10.6	9.0	5.4	3.7	2.2	61.0	29.0	98.0	1.0
5959	251	16	1	thioridazine	Single	24 hr	100	mg/kg	High	948.0	97.0	101.0	186.0	0.32	0.0	197.0	23.0	0.6	140.0	4.9	105.0	11.1	9.2	6.2	4.3	2.3	62.0	38.0	99.0	1.0
5964	252	1	1	thioridazine	Repeat	4 day	0	mg/kg	Control	791.0	82.0	105.0	151.0	0.39	0.0	222.0	17.0	0.5	138.0	5.0	104.0	10.8	8.1	5.9	4.2	2.5	67.0	42.0	85.0	2.0
5969	252	2	1	thioridazine	Repeat	8 day	0	mg/kg	Control	871.0	88.0	97.0	157.0	0.16	0.05	189.0	21.0	0.5	141.0	5.5	106.0	10.6	8.3	5.7	3.9	2.2	69.0	29.0	192.0	2.0
5974	252	3	1	thioridazine	Repeat	15 day	0	mg/kg	Control	873.0	81.0	176.0	166.0	0.28	0.01	212.0	27.0	0.6	140.0	4.8	105.0	11.0	8.5	6.5	4.3	2.0	57.0	37.0	92.0	0.0
5979	252	4	1	thioridazine	Repeat	29 day	0	mg/kg	Control	711.0	76.0	202.0	166.0	0.32	0.0	219.0	20.0	0.6	138.0	4.3	107.0	10.6	6.6	6.6	4.4	2.0	62.0	43.0	133.0	1.0
5984	252	5	1	thioridazine	Repeat	4 day	10	mg/kg	Low	853.0	77.0	244.0	172.0	0.29	0.0	201.0	20.0	0.5	138.0	4.8	103.0	11.5	8.5	6.2	4.1	2.0	69.0	36.0	101.0	3.0
5989	252	6	1	thioridazine	Repeat	8 day	10	mg/kg	Low	586.0	73.0	146.0	155.0	0.32	0.0	232.0	18.0	0.5	138.0	5.2	105.0	11.0	8.1	6.1	4.3	2.4	59.0	33.0	93.0	1.0
5994	252	7	1	thioridazine	Repeat	15 day	10	mg/kg	Low	1044.0	72.0	201.0	157.0	0.33	0.0	193.0	20.0	0.6	138.0	5.0	108.0	10.7	6.5	6.3	4.1	1.9	69.0	35.0	104.0	1.0
5999	252	8	1	thioridazine	Repeat	29 day	10	mg/kg	Low	563.0	62.0	264.0	164.0	0.13	0.0	181.0	21.0	0.6	140.0	4.6	106.0	10.7	8.2	6.5	4.3	2.0	58.0	30.0	101.0	1.0
6004	252	9	1	thioridazine	Repeat	4 day	30	mg/kg	Middle	828.0	97.0	155.0	203.0	0.29	0.02	190.0	21.0	0.5	137.0	4.9	104.0	11.0	8.1	6.1	4.3	2.4	59.0	39.0	82.0	2.0
6009	252	10	1	thioridazine	Repeat	8 day	30	mg/kg	Middle	718.0	92.0	174.0	185.0	0.24	0.0	205.0	19.0	0.5	138.0	4.6	104.0	11.5	8.3	6.3	4.3	2.2	58.0	35.0	95.0	1.0
6014	252	11	1	thioridazine	Repeat	15 day	30	mg/kg	Middle	742.0	92.0	193.0	173.0	0.34	0.0	187.0	17.0	0.5	140.0	4.8	108.0	10.5	6.9	6.3	4.2	2.0	55.0	29.0	92.0	0.0
6019	252	12	1	thioridazine	Repeat	29 day	30	mg/kg	Middle	1139.0	78.0	143.0	171.0	0.2	0.0	183.0	20.0	0.6	141.0	3.9	104.0	10.8	8.2	6.7	4.2	1.7	78.0	50.0	118.0	0.0
6024	252	13	1	thioridazine	Repeat	4 day	100	mg/kg	High	1290.0	88.0	122.0	162.0	0.28	0.08	210.0	22.0	0.5	140.0	4.4	101.0	11.6	9.4	6.0	4.0	2.0	68.0	44.0	100.0	0.0
6029	252	14	1	thioridazine	Repeat	8 day	100	mg/kg	High	889.0	87.0	210.0	197.0	0.39	0.0	212.0	19.0	0.5	143.0	4.1	108.0	11.3	8.9	6.1	4.0	1.9	67.0	37.0	117.0	2.0
6034	252	15	1	thioridazine	Repeat	15 day	100	mg/kg	High	804.0	83.0	113.0	167.0	0.25	0.06	184.0	18.0	0.6	141.0	4.2	108.0	10.6	7.7	6.2	4.1	2.0	73.0	38.0	105.0	1.0
6039	252	16	1	thioridazine	Repeat	29 day	100	mg/kg	High	692.0	73.0	165.0	170.0	0.11	0.0	175.0	19.0	0.6	141.0	3.9	107.0	10.2	6.7	6.3	4.2	2.0	53.0	38.0	101.0	1.0
